Cluster-ID    List of points
1	     [1, 2, 8, 17, 61, 94, 98, 99]
2	     [66]
3	     [10, 73, 85, 89]
4	     [67]
5	     [32]
6	     [36, 82]
7	     [4, 11, 60, 70]
8	     [15, 81]
9	     [23, 30, 35, 45, 47]
10	     [33, 83, 91]
11	     [3, 56, 64]
12	     [48, 95, 96]
13	     [7, 62, 87]
14	     [28, 37, 68, 71, 72, 92]
15	     [5, 43]
16	     [31, 79]
17	     [24, 29, 34, 39, 51, 53, 57, 58, 63, 65]
18	     [16]
19	     [44, 49]
20	     [14, 25, 26, 42, 50, 80, 100]
21	     [12, 20, 41, 75, 77, 93]
22	     [6, 13, 38, 97]
23	     [18, 21, 69, 74]
24	     [46, 76, 86, 90]
25	     [9]
26	     [19, 27, 54, 55, 78, 88]
27	     [52, 59]
28	     [22, 40, 84]
