@relation 'golub-data-train-weka.filters.unsupervised.attribute.Remove-R2-7,9-12,14-19,21-22,24-26,28-29,32-35,38-40,42-44,46-48,50-52,54-55,57,59-60,62-74,76-78,81-7130_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '-0.375AFFX-HUMGAPDH/M33197_5_st-0.349AFFX-HUMTFRR/M11507_5_at+0.324Gene Accession Number=ALL-B-0.308AFFX-HUMISGF3A/M97935_5_at-0.297AFFX-HUMISGF3A/M97935_MA_at...' numeric
@attribute -0.349AFFX-M27830_M_at-0.343AFFX-HUMRGE/M10098_M_at-0.317AFFX-HUMGAPDH/M33197_3_at+0.312AFFX-HUMISGF3A/M97935_MA_at+0.283AFFX-HUMISGF3A/M97935_5_at... numeric
@attribute '-0.423A28102_at+0.369AFFX-ThrX-M_at+0.345Gene Accession Number=ALL-T+0.317AFFX-BioB-3_st+0.304AFFX-ThrX-5_at...' numeric
@attribute -0.457AFFX-DapX-3_at-0.394AFFX-BioB-3_st-0.379AFFX-PheX-5_at+0.367AFFX-BioDn-3_at-0.245AFFX-M27830_M_at... numeric
@attribute '0.459AFFX-HUMRGE/M10098_M_at+0.442Gene Accession Number=ALL-B+0.33 AFFX-HUMISGF3A/M97935_5_at-0.314AFFX-DapX-3_at-0.311Gene Accession Number=AML...' numeric
@attribute 0.455AFFX-BioDn-3_at+0.452AFFX-PheX-5_at-0.451AFFX-ThrX-5_at-0.322AFFX-HUMTFRR/M11507_5_at+0.221AFFX-HUMGAPDH/M33197_3_at... numeric
@attribute '0.45 hum_alu_at-0.342A28102_at-0.342AFFX-HUMGAPDH/M33197_3_st-0.326AFFX-ThrX-M_at+0.321Gene Accession Number=ALL-T...' numeric
@attribute 0.673AB001106_at+0.321AFFX-PheX-5_at+0.312A28102_at-0.288AFFX-HUMGAPDH/M33197_3_at+0.255AFFX-ThrX-M_at... numeric
@attribute -0.569AB000895_at-0.362A28102_at-0.271AFFX-ThrX-M_at-0.263hum_alu_at+0.258AFFX-HUMGAPDH/M33197_3_st... numeric
@attribute '0.442AFFX-BioDn-3_at+0.389AFFX-BioB-3_st-0.387Gene Accession Number=ALL-T+0.356hum_alu_at+0.27 AB001106_at...' numeric
@attribute '0.446AFFX-HUMISGF3A/M97935_MA_at+0.422AFFX-DapX-3_at+0.417A28102_at+0.33 AFFX-HUMGAPDH/M33197_3_at-0.286Gene Accession Number=AML...' numeric
@attribute '0.406AFFX-ThrX-5_at+0.36 AFFX-ThrX-M_at+0.34 AFFX-DapX-3_at+0.291AFFX-HUMRGE/M10098_M_at-0.285A28102_at...' numeric
@attribute 0.432AFFX-HUMRGE/M10098_M_at-0.41AFFX-PheX-5_at-0.35hum_alu_at-0.337AFFX-ThrX-5_at-0.289AFFX-HUMISGF3A/M97935_MA_at... numeric
@attribute -0.496AB000895_at+0.491AFFX-ThrX-M_at+0.336AFFX-HUMTFRR/M11507_5_at-0.254AFFX-ThrX-5_at-0.225AFFX-DapX-3_at... numeric
@attribute AB001325_at numeric
@attribute Cluster {cluster0,cluster1}

@data
0,-0.489088,-0.08505,1.668143,1.438854,-0.596278,-1.155701,0.191279,-0.089222,-0.233309,-1.473833,-0.691124,-1.401186,-0.175095,0.180352,941,cluster0
1,-2.949458,-1.205404,0.797234,3.907235,0.494063,0.254465,0.366138,0.509751,1.754258,-0.40216,-0.514738,-1.057402,0.028402,0.91592,1924,cluster1
2,-1.09295,-4.063845,0.299588,0.734512,-1.965903,0.014069,1.084837,-1.146184,0.03016,0.665346,1.080586,0.315659,-0.399526,0.318417,1374,cluster0
3,-0.800585,-1.238211,3.433115,2.005199,-0.063501,-1.68159,0.026837,0.899586,-0.271239,-0.476878,-0.034974,1.70231,0.148238,-1.030703,1897,cluster1
4,1.456452,-0.755681,1.333664,1.346225,-1.359524,2.563887,1.114151,0.42466,-0.627341,-0.065755,0.404434,-0.00682,-0.916668,0.144852,792,cluster1
5,0.473818,-0.755565,2.458822,0.605835,-1.282191,0.642422,0.435819,0.535834,-0.324972,0.133259,0.067244,-0.752283,0.235453,-0.150951,1009,cluster1
6,0.599873,-0.586001,1.465714,-0.592966,-1.599101,0.451804,0.58736,-0.090198,0.574276,-1.980314,0.463409,-0.350952,-0.57267,-0.41556,1100,cluster0
7,-1.827206,-3.545689,0.334292,-1.400763,1.495492,-0.107824,2.28316,0.865222,-2.146918,-0.34648,0.306627,-0.203914,1.611113,0.040749,807,cluster0
8,-0.805429,-0.891392,-0.363667,1.029791,3.234048,1.139155,-0.511732,-0.286137,0.895064,0.527493,-1.000275,-0.804133,0.587943,-0.269505,1149,cluster1
9,1.522093,-0.933511,-2.078521,0.803257,-0.273253,-0.507272,-0.903376,-0.454797,0.847454,-0.572894,1.26434,0.661024,0.359263,-0.528198,1078,cluster0
10,2.042522,1.384858,1.072044,0.20857,0.903488,0.114135,0.70001,0.089446,-0.365664,0.890558,-0.242442,0.123765,0.079382,0.507673,501,cluster1
11,0.388649,-2.076873,-2.444042,0.325208,1.393483,0.65977,0.185226,0.357679,0.001359,-0.144557,0.647994,0.819366,-0.014171,0.195622,1357,cluster0
12,1.062381,-0.087105,-2.360782,0.476215,0.40437,-2.547715,-1.344324,0.848724,-1.463911,-1.237505,0.238278,0.076163,-1.505888,0.591843,1760,cluster0
13,-0.227142,-2.94638,-0.019608,-1.542012,-0.134854,-0.916424,-0.617448,-0.571489,0.937413,1.319319,0.795283,-0.033127,-0.623703,-0.09081,651,cluster1
14,2.988187,0.955244,-0.2107,0.118631,-0.335857,-1.46684,1.796609,0.729526,1.889637,0.95086,-0.232619,0.261007,0.33388,-0.449725,934,cluster1
15,0.290391,0.931863,1.31234,-1.839753,1.918037,0.821438,-0.139477,-0.278962,1.293584,-1.078218,1.144031,0.999787,0.610601,0.909185,359,cluster0
16,2.291533,0.899253,-0.182052,0.913557,0.318756,0.896227,-0.21715,-0.463856,0.01061,0.776454,0.292365,-0.61087,0.616981,0.532421,828,cluster1
17,1.7929,1.304096,-0.757371,2.820975,0.887184,-1.958263,0.268966,-2.890028,-1.293161,-0.261519,-0.852183,0.038604,0.730845,-0.765995,796,cluster0
